__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1778157013.689549,0.138601653,0.061707489,0.000000000,,,,,
1778157013.689571,,,,1778157013.689393520,-1.601182568,0.149083311,-0.011170556,0.036264389
1778157013.690555,0.137418471,0.061400877,0.000000000,,,,,
1778157013.690577,,,,1778157013.690406561,-1.601031459,0.149222468,-0.011133770,0.036326566
1778157013.691652,0.136221588,0.061090514,0.000000000,,,,,
1778157013.691674,,,,1778157013.691411257,-1.600881391,0.149359335,-0.011097210,0.036387946
1778157013.692511,0.135033733,0.060782302,0.000000000,,,,,
1778157013.692533,,,,1778157013.692360401,-1.600739594,0.149487422,-0.011062639,0.036445602
1778157013.693556,0.133912051,0.060491105,0.000000000,,,,,
1778157013.693583,,,,1778157013.693389177,-1.600584871,0.149625896,-0.011024888,0.036508154
1778157013.694536,0.132688877,0.060173328,0.000000000,,,,,
1778157013.694567,,,,1778157013.694393635,-1.600436218,0.149757606,-0.010988589,0.036567883
1778157013.695543,0.131514458,0.059868043,0.000000000,,,,,
1778157013.695577,,,,1778157013.695390224,-1.600289066,0.149886721,-0.010952631,0.036626659
1778157013.697299,0.130352625,0.059565850,0.000000000,,,,,
1778157013.697331,,,,1778157013.696448088,-1.600137661,0.150018279,-0.010915605,0.036686775
1778157013.697537,0.129157968,0.059254916,0.000000000,,,,,
1778157013.697589,,,,1778157013.697386980,-1.599986428,0.150148369,-0.010878593,0.036746458
1778157013.698648,0.127965434,0.058944344,0.000000000,,,,,
1778157013.698688,,,,1778157013.698450327,-1.599831887,0.150279964,-0.010840742,0.036807074
1778157013.699541,0.126747588,0.058626973,0.000000000,,,,,
1778157013.699569,,,,1778157013.699411631,-1.599682914,0.150405503,-0.010804229,0.036865143
1778157013.700600,0.125574386,0.058321064,0.000000000,,,,,
1778157013.700632,,,,1778157013.700409651,-1.599532315,0.150531134,-0.010767288,0.036923490
1778157013.701530,0.124389118,0.058011817,0.000000000,,,,,
1778157013.701561,,,,1778157013.701392651,-1.599384367,0.150653290,-0.010730972,0.036980460
1778157013.702580,0.123225441,0.057708028,0.000000000,,,,,
1778157013.702611,,,,1778157013.702388763,-1.599233998,0.150776183,-0.010694034,0.037038012
1778157013.703606,0.122043458,0.057399267,0.000000000,,,,,
